Item.Filename,target_word,image_selection,feedback,reps,Item.Height,Item.Backness,F3,F0,Talker,Duration,Experiment,SR,F1,F2
E2_1.199_0.647.wav,TEST,forward,FALSE,2,1.199,0.647,2744.0450871202993,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,621.951236813028,1187.8042246290174
E2_1.199_0.702.wav,TEST,forward,FALSE,2,1.199,0.702,2763.289262832775,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,621.951236813028,1254.9634056036912
E2_1.199_0.802.wav,TEST,forward,FALSE,2,1.199,0.802,2801.1091866462784,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,621.951236813028,1386.9490591223725
E2_1.199_0.925.wav,TEST,forward,FALSE,2,1.199,0.925,2853.1258377968234,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,621.951236813028,1568.4790836092695
E2_1.199_1.053.wav,TEST,forward,FALSE,2,1.199,1.053,2914.4983510628936,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,621.951236813028,1782.6596121436487
E2_1.199_1.102.wav,TEST,forward,FALSE,2,1.199,1.102,2940.1515830895323,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,621.951236813028,1872.1854031155854
E2_1.199_1.175.wav,TEST,forward,FALSE,2,1.199,1.175,2969.9739266902056,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,603.1846736665938,1953.1981948646837
E2_1.199_1.246.wav,TEST,forward,FALSE,2,1.199,1.246,3022.516664884023,232.36227597861034,E2_synth,0.2492,1b (synthesized),187.18084136032752,620.8411273610643,2158.297975257643
E2_1.199_1.541.wav,TEST,forward,FALSE,2,1.199,1.541,3254.680677057428,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,640.2179428503114,2989.34223559417
E2_1.199_1.625.wav,TEST,forward,FALSE,2,1.199,1.625,3329.9557561839856,254.80486156925022,E2_synth,0.2492,1b (synthesized),193.02286513471535,640.2179428503114,3251.2949889152906
E2_1.238_0.615.wav,TEST,forward,FALSE,2,1.238,0.615,2736.8895897701527,233.6109483917551,E2_synth,0.2492,1b (synthesized),187.51553442762452,646.6865383078958,1196.1480234267285
E2_1.238_1.151.wav,TEST,forward,FALSE,2,1.238,1.151,2969.991808362669,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,627.1736198686768,1982.7170053909795
E2_1.238_1.225.wav,TEST,forward,FALSE,2,1.238,1.225,3013.6642632927133,213.09589276483555,E2_synth,0.2492,1b (synthesized),181.8574990231041,627.1736198686768,2135.003164778092
E2_1.241_0.575.wav,TEST,forward,FALSE,2,1.241,0.575,2721.634195681835,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,632.2274912031706,1123.5507745714312
E2_1.275_0.525.wav,TEST,forward,FALSE,2,1.275,0.525,2707.9888035126023,216.33321750851843,E2_synth,0.2492,1b (synthesized),182.77379289114003,654.0928303491368,1105.7170127250222
